t,u[0],u[1],u[2]
0,1,0,0
0.005,0.954208,0.131929,0.000301666
0.01,0.91696,0.257574,0.00118947
0.015,0.887556,0.378073,0.00258912
0.02,0.865386,0.494466,0.0044487
0.025,0.849919,0.607715,0.00673497
0.03,0.840694,0.718708,0.00943043
0.035,0.837314,0.82827,0.0125312
0.04,0.839442,0.937173,0.0160452
0.045,0.846794,1.04614,0.0199915
0.05,0.859133,1.15587,0.024399
0.055,0.876268,1.267,0.0293062
0.06,0.898047,1.38016,0.0347614
0.065,0.924359,1.49596,0.0408222
0.07,0.955123,1.61499,0.0475564
0.075,0.990293,1.73782,0.0550422
0.08,1.02985,1.86501,0.0633693
0.085,1.07382,1.99714,0.0726394
0.09,1.12222,2.13475,0.0829677
0.095,1.17513,2.27842,0.0944842
0.1,1.23263,2.4287,0.107335
0.105,1.29484,2.58619,0.121685
0.11,1.3619,2.75146,0.137718
0.115,1.43395,2.92511,0.155642
0.12,1.51119,3.10775,0.175689
0.125,1.5938,3.30002,0.198118
0.13,1.68202,3.50257,0.223221
0.135,1.7761,3.71606,0.251325
0.14,1.87628,3.94118,0.282795
0.145,1.98287,4.17865,0.318039
0.15,2.09616,4.4292,0.357514
0.155,2.21649,4.69359,0.401731
0.16,2.34421,4.9726,0.451262
0.165,2.4797,5.26704,0.506743
0.17,2.62333,5.57773,0.568887
0.175,2.77554,5.9055,0.638487
0.18,2.93676,6.25123,0.71643
0.185,3.10744,6.61578,0.8037
0.19,3.28806,7.00003,0.901394
0.195,3.47912,7.40485,1.01073
0.2,3.68114,7.83111,1.13307
0.205,3.89464,8.27966,1.2699
0.21,4.12017,8.75132,1.42289
0.215,4.3583,9.24686,1.59388
0.22,4.60958,9.76697,1.78488
0.225,4.87459,10.3123,1.99813
0.23,5.1539,10.8833,2.23606
0.235,5.44807,11.4804,2.50136
0.24,5.75766,12.1037,2.79693
0.245,6.08318,12.7532,3.12594
0.25,6.42512,13.4285,3.49182
0.255,6.78394,14.1292,3.89824
0.26,7.16,14.854,4.34915
0.265,7.55361,15.6016,4.84873
0.27,7.96496,16.37,5.40137
0.275,8.39415,17.1565,6.01166
0.28,8.84109,17.958,6.68434
0.285,9.30554,18.7702,7.4242
0.29,9.78702,19.5883,8.23593
0.295,10.2848,20.4064,9.12424
0.3,10.798,21.2176,10.0935
0.305,11.3253,22.0137,11.1477
0.31,11.865,22.7858,12.2902
0.315,12.4151,23.5234,13.5234
0.32,12.9731,24.2151,14.8487
0.325,13.5361,24.8484,16.2661
0.33,14.1006,25.4097,17.774
0.335,14.6628,25.885,19.3687
0.34,15.2181,26.2596,21.0444
0.345,15.7617,26.5188,22.7929
0.35,16.2882,26.6484,24.6032
0.355,16.7917,26.6348,26.4617
0.36,17.2662,26.4662,28.3521
0.365,17.7052,26.1328,30.2553
0.37,18.1024,25.6274,32.1503
0.375,18.4515,24.9463,34.0142
0.38,18.746,24.0894,35.8228
0.385,18.9804,23.0609,37.5515
0.39,19.1494,21.8693,39.1761
0.395,19.2487,20.5273,40.674
0.4,19.2746,19.052,42.0245
0.405,19.2249,17.4636,43.2104
0.41,19.0982,15.7855,44.2182
0.415,18.8945,14.0432,45.0386
0.42,18.6152,12.2628,45.6672
0.425,18.2627,10.471,46.1042
0.43,17.8405,8.69324,46.3544
0.435,17.3533,6.95316,46.4266
0.44,16.8066,5.27205,46.3332
0.445,16.2066,3.66781,46.0894
0.45,15.5599,2.1551,45.7122
0.455,14.8734,0.744977,45.22
0.46,14.1543,-0.554999,44.6314
0.465,13.4095,-1.74057,43.9651
0.47,12.646,-2.81048,43.2386
0.475,11.8702,-3.76602,42.4685
0.48,11.0882,-4.61065,41.6696
0.485,10.3056,-5.34951,40.8551
0.49,9.52741,-5.98896,40.0364
0.495,8.75808,-6.53623,39.2231
0.5,8.0015,-6.99904,38.4229
0.505,7.26098,-7.38533,37.6421
0.51,6.53929,-7.70297,36.8855
0.515,5.83869,-7.95963,36.1565
0.52,5.16095,-8.16263,35.4576
0.525,4.50749,-8.3188,34.7901
0.53,3.87918,-8.43452,34.1548
0.535,3.27664,-8.51559,33.5516
0.54,2.70018,-8.56727,32.9802
0.545,2.14986,-8.59427,32.4397
0.55,1.62552,-8.6008,31.9291
0.555,1.1268,-8.59059,31.447
0.56,0.653199,-8.56691,30.9922
0.565,0.204087,-8.53263,30.5632
0.57,-0.22127,-8.49024,30.1583
0.575,-0.623681,-8.44191,29.7763
0.58,-1.00402,-8.38948,29.4156
0.585,-1.36319,-8.33456,29.0748
0.59,-1.70214,-8.27851,28.7526
0.595,-2.02183,-8.22247,28.4478
0.6,-2.32321,-8.16742,28.1592
0.605,-2.60725,-8.11418,27.8857
0.61,-2.87489,-8.06342,27.6262
0.615,-3.12707,-8.0157,27.3799
0.62,-3.3647,-7.97147,27.146
0.625,-3.58866,-7.93112,26.9235
0.63,-3.79983,-7.89491,26.712
0.635,-3.99903,-7.86308,26.5106
0.64,-4.18706,-7.83578,26.3189
0.645,-4.36469,-7.81314,26.1364
0.65,-4.53266,-7.79523,25.9626
0.655,-4.69167,-7.78208,25.797
0.66,-4.84239,-7.7737,25.6394
0.665,-4.98545,-7.77007,25.4894
0.67,-5.12147,-7.77114,25.3468
0.675,-5.25101,-7.77685,25.2113
0.68,-5.37461,-7.78711,25.0826
0.685,-5.49278,-7.80184,24.9607
0.69,-5.60601,-7.82091,24.8454
0.695,-5.71473,-7.84422,24.7365
0.7,-5.81939,-7.87163,24.6339
0.705,-5.92036,-7.90299,24.5376
0.71,-6.01803,-7.93818,24.4474
0.715,-6.11273,-7.97702,24.3633
0.72,-6.20479,-8.01938,24.2852
0.725,-6.29449,-8.06507,24.2132
0.73,-6.38213,-8.11393,24.1472
0.735,-6.46793,-8.16579,24.0871
