t,u[0],u[1],u[2]
0,1,0.1,0.1
0.005,0.955,0.234,0.0991667
0.01,0.91895,0.361281,0.0989618
0.015,0.891067,0.483079,0.0993023
0.02,0.870667,0.600515,0.100131
0.025,0.85716,0.714616,0.10141
0.03,0.850032,0.826325,0.10312
0.035,0.848847,0.93651,0.105257
0.04,0.85323,1.04597,0.107829
0.045,0.862867,1.15547,0.110853
0.05,0.877498,1.2657,0.11436
0.055,0.896908,1.37733,0.118389
0.06,0.920929,1.491,0.122987
0.065,0.949433,1.6073,0.128213
0.07,0.982326,1.72683,0.134133
0.075,1.01955,1.85015,0.140826
0.08,1.06108,1.97782,0.14838
0.085,1.10692,2.11039,0.156895
0.09,1.15709,2.24841,0.166483
0.095,1.21166,2.39241,0.177272
0.1,1.2707,2.54295,0.189402
0.105,1.33431,2.70057,0.203033
0.11,1.40262,2.86585,0.218343
0.115,1.47578,3.03934,0.23553
0.12,1.55396,3.22164,0.254817
0.125,1.63734,3.41333,0.276451
0.13,1.72614,3.61504,0.300709
0.135,1.82059,3.8274,0.3279
0.14,1.92093,4.05106,0.358368
0.145,2.02744,4.28669,0.392499
0.15,2.1404,4.53498,0.430721
0.155,2.26013,4.79665,0.473511
0.16,2.38695,5.07243,0.521403
0.165,2.52123,5.36309,0.574989
0.17,2.66332,5.66939,0.634931
0.175,2.81362,5.99214,0.701962
0.18,2.97255,6.33214,0.7769
0.185,3.14053,6.69023,0.860655
0.19,3.31801,7.06723,0.954234
0.195,3.50547,7.464,1.05876
0.2,3.7034,7.88136,1.17546
0.205,3.9123,8.32014,1.30573
0.21,4.13269,8.78116,1.45107
0.215,4.36511,9.26519,1.61318
0.22,4.61012,9.77294,1.79389
0.225,4.86826,10.3051,1.99524
0.23,5.1401,10.8622,2.21947
0.235,5.42621,11.4448,2.46905
0.24,5.72714,12.0531,2.74663
0.245,6.04343,12.6873,3.05516
0.25,6.37563,13.3475,3.3978
0.255,6.72422,14.0331,3.77799
0.26,7.08967,14.7437,4.19943
0.265,7.47237,15.4782,4.66607
0.27,7.87266,16.2353,5.18215
0.275,8.29079,17.0129,5.75213
0.28,8.7269,17.8087,6.38069
0.285,9.18098,18.6193,7.07268
0.29,9.6529,19.441,7.8331
0.295,10.1423,20.2689,8.66697
