t,u[0]
0,1
0.1,1.111
0.2,1.23432
0.3,1.37133
0.4,1.52355
0.5,1.69266
0.6,1.88055
0.7,2.08929
0.8,2.3212
0.9,2.57885
1,2.86511
1.1,3.18313
1.2,3.53646
1.3,3.92901
1.4,4.36513
1.5,4.84966
1.6,5.38797
1.7,5.98603
1.8,6.65048
1.9,7.38868
2,8.20883
2.1,9.12001
2.2,10.1323
2.3,11.258
2.4,12.5088
2.5,13.8985
2.6,15.4427
2.7,17.1583
2.8,19.0646
2.9,21.1827
3,23.5361
3.1,26.151
3.2,29.0563
3.3,32.2845
3.4,35.8713
3.5,39.8566
3.6,44.2847
3.7,49.2047
3.8,54.6713
3.9,60.7453
4,67.4941
4.1,74.9927
4.2,83.3244
4.3,92.5818
4.4,102.868
4.5,114.297
4.6,126.997
4.7,141.107
4.8,156.786
4.9,174.206
5,193.562
