t,u[0]
0,1
0.1,1.1
0.2,1.18333
0.3,1.25442
0.4,1.31582
0.5,1.36919
0.6,1.41569
0.7,1.45616
0.8,1.49123
0.9,1.5214
1,1.54706
1.1,1.56854
1.2,1.5861
1.3,1.59996
1.4,1.6103
1.5,1.61729
1.6,1.62105
1.7,1.6217
1.8,1.61934
1.9,1.61406
2,1.60592
2.1,1.595
2.2,1.58133
2.3,1.56497
2.4,1.54595
2.5,1.52431
2.6,1.50006
2.7,1.47323
2.8,1.44384
2.9,1.41188
3,1.37737
3.1,1.3403
3.2,1.30067
3.3,1.25847
3.4,1.21368
3.5,1.1663
3.6,1.11628
3.7,1.06362
3.8,1.00828
3.9,0.950217
4,0.889399
4.1,0.82578
4.2,0.759309
4.3,0.689931
4.4,0.617584
4.5,0.5422
4.6,0.463707
4.7,0.382022
4.8,0.297056
4.9,0.208712
5,0.116883
5.1,0.0214513
5.2,-0.077711
5.3,-0.180745
5.4,-0.287807
5.5,-0.399066
5.6,-0.514713
5.7,-0.634956
5.8,-0.760028
5.9,-0.890188
6,-1.02573
6.1,-1.16697
6.2,-1.31428
6.3,-1.46808
6.4,-1.62885
6.5,-1.79713
6.6,-1.97355
6.7,-2.15887
6.8,-2.35395
6.9,-2.55984
7,-2.7778
