t,u[0]
0,1
0.1,0.5
0.2,0.25
0.3,0.125
0.4,0.0625
0.5,0.03125
0.6,0.015625
0.7,0.0078125
0.8,0.00390625
0.9,0.00195312
1,0.000976562
1.1,0.000488281
1.2,0.000244141
1.3,0.00012207
1.4,6.10352e-05
1.5,3.05176e-05
1.6,1.52588e-05
1.7,7.62939e-06
1.8,3.8147e-06
1.9,1.90735e-06
2,9.53674e-07
2.1,4.76837e-07
2.2,2.38419e-07
2.3,1.19209e-07
2.4,5.96046e-08
2.5,2.98023e-08
2.6,1.49012e-08
2.7,7.45058e-09
2.8,3.72529e-09
2.9,1.86265e-09
3,9.31323e-10
3.1,4.65661e-10
3.2,2.32831e-10
3.3,1.16415e-10
3.4,5.82077e-11
3.5,2.91038e-11
3.6,1.45519e-11
3.7,7.27596e-12
3.8,3.63798e-12
3.9,1.81899e-12
4,9.09495e-13
4.1,4.54747e-13
4.2,2.27374e-13
4.3,1.13687e-13
4.4,5.68434e-14
4.5,2.84217e-14
4.6,1.42109e-14
4.7,7.10543e-15
4.8,3.55271e-15
4.9,1.77636e-15
5,8.88178e-16
