t,u[0]
0,1
0.1,1.08308
0.2,1.15349
0.3,1.21381
0.4,1.26574
0.5,1.31047
0.6,1.34885
0.7,1.38156
0.8,1.40911
0.9,1.43189
1,1.45025
1.1,1.46444
1.2,1.47437
1.3,1.48065
1.4,1.48345
1.5,1.4829
1.6,1.4791
1.7,1.47215
1.8,1.46179
1.9,1.44832
2,1.43178
2.1,1.41222
2.2,1.38967
2.3,1.36416
2.4,1.3357
2.5,1.30431
2.6,1.26998
2.7,1.23271
2.8,1.1925
2.9,1.14931
3,1.10314
3.1,1.05395
3.2,1.00169
3.3,0.946334
3.4,0.887821
3.5,0.826094
3.6,0.761086
3.7,0.692721
3.8,0.620914
3.9,0.545569
4,0.466581
4.1,0.383832
4.2,0.297189
4.3,0.206506
4.4,0.111621
4.5,0.01235
4.6,-0.0915107
4.7,-0.20019
4.8,-0.313946
4.9,-0.433069
5,-0.557891
5.1,-0.688789
5.2,-0.826195
5.3,-0.970611
5.4,-1.12262
5.5,-1.28291
5.6,-1.45229
5.7,-1.63251
5.8,-1.82421
5.9,-2.02895
6,-2.24872
6.1,-2.48615
6.2,-2.74479
6.3,-3.0297
6.4,-3.34853
6.5,-3.71388
6.6,-4.15256
6.7,-4.73222
6.8,-5.94837
6.9,-7.60609
7,-7.38085
